node,gpu,arm,N,K,rep,wall_s
inf02,NVIDIA_A40,CPU,500,0,1,0.1443
inf02,NVIDIA_A40,CUDA,500,0,1,0.3781
inf02,NVIDIA_A40,CPU,500,50000,1,0.1443
inf02,NVIDIA_A40,CUDA,500,50000,1,0.2837
inf02,NVIDIA_A40,CPU,500,0,2,0.1446
inf02,NVIDIA_A40,CUDA,500,0,2,0.3590
inf02,NVIDIA_A40,CPU,500,50000,2,0.1443
inf02,NVIDIA_A40,CUDA,500,50000,2,0.2844
inf02,NVIDIA_A40,CPU,500,0,3,0.1445
inf02,NVIDIA_A40,CUDA,500,0,3,0.3724
inf02,NVIDIA_A40,CPU,500,50000,3,0.1449
inf02,NVIDIA_A40,CUDA,500,50000,3,0.2884
inf02,NVIDIA_A40,CPU,500,0,4,0.1442
inf02,NVIDIA_A40,CUDA,500,0,4,0.3724
inf02,NVIDIA_A40,CPU,500,50000,4,0.1441
inf02,NVIDIA_A40,CUDA,500,50000,4,0.2874
inf02,NVIDIA_A40,CPU,500,0,5,0.1442
inf02,NVIDIA_A40,CUDA,500,0,5,0.3717
inf02,NVIDIA_A40,CPU,500,50000,5,0.1445
inf02,NVIDIA_A40,CUDA,500,50000,5,0.2874
inf02,NVIDIA_A40,CPU,500,0,6,0.1447
inf02,NVIDIA_A40,CUDA,500,0,6,0.3734
inf02,NVIDIA_A40,CPU,500,50000,6,0.1445
inf02,NVIDIA_A40,CUDA,500,50000,6,0.2903
inf02,NVIDIA_A40,CPU,500,0,7,0.1444
inf02,NVIDIA_A40,CUDA,500,0,7,0.3794
inf02,NVIDIA_A40,CPU,500,50000,7,0.1454
inf02,NVIDIA_A40,CUDA,500,50000,7,0.2858
inf02,NVIDIA_A40,CPU,500,0,8,0.1451
inf02,NVIDIA_A40,CUDA,500,0,8,0.3697
inf02,NVIDIA_A40,CPU,500,50000,8,0.1458
inf02,NVIDIA_A40,CUDA,500,50000,8,0.2861
inf02,NVIDIA_A40,CPU,500,0,9,0.3426
inf02,NVIDIA_A40,CUDA,500,0,9,0.3751
inf02,NVIDIA_A40,CPU,500,50000,9,0.3444
inf02,NVIDIA_A40,CUDA,500,50000,9,0.2868
inf02,NVIDIA_A40,CPU,500,0,10,0.1460
inf02,NVIDIA_A40,CUDA,500,0,10,0.3714
