node,gpu,arm,N,K,rep,wall_s
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,1,0.1491
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,1,0.2774
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,1,0.1482
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,1,0.2030
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,2,0.1481
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,2,0.2649
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,2,0.1484
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,2,0.2037
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,3,0.1481
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,3,0.2768
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,3,0.1488
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,3,0.2014
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,4,0.1495
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,4,0.2763
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,4,0.1510
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,4,0.2033
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,5,0.1488
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,5,0.2749
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,5,0.1486
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,5,0.2014
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,6,0.1484
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,6,0.2755
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,6,0.1492
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,6,0.2031
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,7,0.1500
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,7,0.2759
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,7,0.1489
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,7,0.2367
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,0,8,0.1516
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,0,8,0.3187
inf03,NVIDIA_A100-PCIE-40GB,CPU,500,50000,8,0.1496
inf03,NVIDIA_A100-PCIE-40GB,CUDA,500,50000,8,0.2270
