simulator,node,gpu,n_neurons,ncomp,n_steps,rep,wall_s
GENESIS 2.5,inf03,A100,10000,16,1000,1,1.4069
GENESIS 2.5,inf03,A100,10000,16,1000,2,1.3410
GENESIS 2.5,inf03,A100,10000,16,1000,3,1.3928
Arbor 0.10.0,inf03,A100,10000,16,1000,1,1.260
Arbor 0.10.0,inf03,A100,10000,16,1000,2,1.162
Arbor 0.10.0,inf03,A100,10000,16,1000,3,1.168
GENESIS 2.5,inf03,A100,10000,16,2500,1,1.4458
GENESIS 2.5,inf03,A100,10000,16,2500,2,1.4407
GENESIS 2.5,inf03,A100,10000,16,2500,3,1.4428
Arbor 0.10.0,inf03,A100,10000,16,2500,1,1.303
Arbor 0.10.0,inf03,A100,10000,16,2500,2,1.295
Arbor 0.10.0,inf03,A100,10000,16,2500,3,1.290
GENESIS 2.5,inf03,A100,10000,16,5000,1,1.6023
GENESIS 2.5,inf03,A100,10000,16,5000,2,1.6152
GENESIS 2.5,inf03,A100,10000,16,5000,3,1.5973
Arbor 0.10.0,inf03,A100,10000,16,5000,1,1.537
Arbor 0.10.0,inf03,A100,10000,16,5000,2,1.556
Arbor 0.10.0,inf03,A100,10000,16,5000,3,1.551
GENESIS 2.5,inf03,A100,10000,16,10000,1,1.9124
GENESIS 2.5,inf03,A100,10000,16,10000,2,1.9291
GENESIS 2.5,inf03,A100,10000,16,10000,3,1.9220
Arbor 0.10.0,inf03,A100,10000,16,10000,1,2.017
Arbor 0.10.0,inf03,A100,10000,16,10000,2,2.027
Arbor 0.10.0,inf03,A100,10000,16,10000,3,2.014
GENESIS 2.5,inf03,A100,10000,16,20000,1,2.6164
GENESIS 2.5,inf03,A100,10000,16,20000,2,2.5994
GENESIS 2.5,inf03,A100,10000,16,20000,3,2.6145
Arbor 0.10.0,inf03,A100,10000,16,20000,1,3.003
Arbor 0.10.0,inf03,A100,10000,16,20000,2,2.961
Arbor 0.10.0,inf03,A100,10000,16,20000,3,2.974
GENESIS 2.5,inf03,A100,10000,16,50000,1,4.5309
GENESIS 2.5,inf03,A100,10000,16,50000,2,4.5478
GENESIS 2.5,inf03,A100,10000,16,50000,3,4.5410
Arbor 0.10.0,inf03,A100,10000,16,50000,1,5.833
Arbor 0.10.0,inf03,A100,10000,16,50000,2,5.928
Arbor 0.10.0,inf03,A100,10000,16,50000,3,5.949
