node,gpu,n_neurons,n_steps,mode,rep,t_total_s
inf02_A40,NVIDIA A40,500,50000,CPU,1,0.532202
inf02_A40,NVIDIA A40,500,50000,GPU,1,0.070500
inf02_A40,NVIDIA A40,5000,50000,CPU,1,5.291054
inf02_A40,NVIDIA A40,5000,50000,GPU,1,0.070500
inf02_A40,NVIDIA A40,50000,50000,CPU,1,54.731571
inf02_A40,NVIDIA A40,50000,50000,GPU,1,0.258900
inf02_A40,NVIDIA A40,500,50000,CPU,2,0.535280
inf02_A40,NVIDIA A40,500,50000,GPU,2,0.070000
inf02_A40,NVIDIA A40,5000,50000,CPU,2,5.287222
inf02_A40,NVIDIA A40,5000,50000,GPU,2,0.070500
inf02_A40,NVIDIA A40,50000,50000,CPU,2,54.829414
inf02_A40,NVIDIA A40,50000,50000,GPU,2,0.257300
inf02_A40,NVIDIA A40,500,50000,CPU,3,0.532186
inf02_A40,NVIDIA A40,500,50000,GPU,3,0.070300
inf02_A40,NVIDIA A40,5000,50000,CPU,3,5.295028
inf02_A40,NVIDIA A40,5000,50000,GPU,3,0.070400
inf02_A40,NVIDIA A40,50000,50000,CPU,3,54.880991
inf02_A40,NVIDIA A40,50000,50000,GPU,3,0.257000
inf02_A40,NVIDIA A40,500,50000,CPU,4,0.534413
inf02_A40,NVIDIA A40,500,50000,GPU,4,0.070300
inf02_A40,NVIDIA A40,5000,50000,CPU,4,5.298647
inf02_A40,NVIDIA A40,5000,50000,GPU,4,0.070500
inf02_A40,NVIDIA A40,50000,50000,CPU,4,54.865527
inf02_A40,NVIDIA A40,50000,50000,GPU,4,0.257100
inf02_A40,NVIDIA A40,500,50000,CPU,5,0.532694
inf02_A40,NVIDIA A40,500,50000,GPU,5,0.070500
inf02_A40,NVIDIA A40,5000,50000,CPU,5,5.292112
inf02_A40,NVIDIA A40,5000,50000,GPU,5,0.070400
inf02_A40,NVIDIA A40,50000,50000,CPU,5,54.846909
inf02_A40,NVIDIA A40,50000,50000,GPU,5,0.257300
inf02_A40,NVIDIA A40,500,50000,CPU,6,0.534735
inf02_A40,NVIDIA A40,500,50000,GPU,6,0.070300
inf02_A40,NVIDIA A40,5000,50000,CPU,6,5.289190
inf02_A40,NVIDIA A40,5000,50000,GPU,6,0.070400
inf02_A40,NVIDIA A40,50000,50000,CPU,6,54.705425
inf02_A40,NVIDIA A40,50000,50000,GPU,6,0.258500
inf02_A40,NVIDIA A40,500,50000,CPU,7,0.532537
inf02_A40,NVIDIA A40,500,50000,GPU,7,0.070100
inf02_A40,NVIDIA A40,5000,50000,CPU,7,5.296122
inf02_A40,NVIDIA A40,5000,50000,GPU,7,0.070500
inf02_A40,NVIDIA A40,50000,50000,CPU,7,54.705779
inf02_A40,NVIDIA A40,50000,50000,GPU,7,0.258100
inf02_A40,NVIDIA A40,500,50000,CPU,8,0.533209
inf02_A40,NVIDIA A40,500,50000,GPU,8,0.070300
inf02_A40,NVIDIA A40,5000,50000,CPU,8,5.293872
inf02_A40,NVIDIA A40,5000,50000,GPU,8,0.070500
inf02_A40,NVIDIA A40,50000,50000,CPU,8,54.876615
inf02_A40,NVIDIA A40,50000,50000,GPU,8,0.257300
inf02_A40,NVIDIA A40,500,50000,CPU,9,0.533621
inf02_A40,NVIDIA A40,500,50000,GPU,9,0.070500
inf02_A40,NVIDIA A40,5000,50000,CPU,9,5.288864
inf02_A40,NVIDIA A40,5000,50000,GPU,9,0.070400
inf02_A40,NVIDIA A40,50000,50000,CPU,9,54.690510
inf02_A40,NVIDIA A40,50000,50000,GPU,9,0.257100
inf02_A40,NVIDIA A40,500,50000,CPU,10,0.535953
inf02_A40,NVIDIA A40,500,50000,GPU,10,0.070500
inf02_A40,NVIDIA A40,5000,50000,CPU,10,5.288183
inf02_A40,NVIDIA A40,5000,50000,GPU,10,0.070500
inf02_A40,NVIDIA A40,50000,50000,CPU,10,54.943091
inf02_A40,NVIDIA A40,50000,50000,GPU,10,0.258700
