node,gpu,n_neurons,n_steps,mode,rep,t_total_s
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,1,0.336211
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,1,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,1,3.361377
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,1,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,1,33.509596
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,1,0.196400
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,2,0.332268
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,2,0.044800
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,2,3.389875
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,2,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,2,33.707137
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,2,0.191400
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,3,0.334318
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,3,0.044700
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,3,3.386999
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,3,0.048100
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,3,35.452949
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,3,0.195200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,4,0.333044
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,4,0.044800
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,4,3.401581
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,4,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,4,33.659314
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,4,0.194500
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,5,0.337008
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,5,0.044800
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,5,3.372555
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,5,0.048100
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,5,33.565415
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,5,0.191200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,6,0.335151
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,6,0.044800
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,6,3.379463
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,6,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,6,33.695214
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,6,0.195500
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,7,0.341238
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,7,0.044700
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,7,3.419878
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,7,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,7,34.036508
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,7,0.195100
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,8,0.335905
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,8,0.044800
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,8,3.387669
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,8,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,8,34.172018
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,8,0.195200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,9,0.334658
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,9,0.044700
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,9,3.346768
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,9,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,9,33.537682
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,9,0.195500
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,CPU,10,0.335426
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,500,50000,GPU,10,0.044700
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,CPU,10,3.402411
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,5000,50000,GPU,10,0.048200
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,CPU,10,33.512064
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,50000,50000,GPU,10,0.195500
