node,gpu,ncomp_per_neuron,n_neurons,total_comps,n_steps,mode,rep,wall_s
inf02,NVIDIA A40,16,10000,160000,200,cpu,1,5.844388
inf02,NVIDIA A40,16,10000,160000,200,cpu,2,5.839273
inf02,NVIDIA A40,16,10000,160000,200,cpu,3,5.848999
inf02,NVIDIA A40,16,10000,160000,200,cpu,4,5.930665
inf02,NVIDIA A40,16,10000,160000,200,cpu,5,5.851181
inf02,NVIDIA A40,16,10000,160000,200,gpu,1,1.447386
inf02,NVIDIA A40,16,10000,160000,200,gpu,2,1.358332
inf02,NVIDIA A40,16,10000,160000,200,gpu,3,1.356482
inf02,NVIDIA A40,16,10000,160000,200,gpu,4,1.336136
inf02,NVIDIA A40,16,10000,160000,200,gpu,5,1.357109
inf02,NVIDIA A40,16,10000,160000,500,cpu,1,12.870110
inf02,NVIDIA A40,16,10000,160000,500,cpu,2,12.973692
inf02,NVIDIA A40,16,10000,160000,500,cpu,3,13.001738
inf02,NVIDIA A40,16,10000,160000,500,cpu,4,12.992051
inf02,NVIDIA A40,16,10000,160000,500,cpu,5,13.165091
inf02,NVIDIA A40,16,10000,160000,500,gpu,1,1.490513
inf02,NVIDIA A40,16,10000,160000,500,gpu,2,1.401460
inf02,NVIDIA A40,16,10000,160000,500,gpu,3,1.393404
inf02,NVIDIA A40,16,10000,160000,500,gpu,4,1.398490
inf02,NVIDIA A40,16,10000,160000,500,gpu,5,1.398963
inf02,NVIDIA A40,16,10000,160000,1000,cpu,1,25.086547
inf02,NVIDIA A40,16,10000,160000,1000,cpu,2,24.983668
inf02,NVIDIA A40,16,10000,160000,1000,cpu,3,24.899122
inf02,NVIDIA A40,16,10000,160000,1000,cpu,4,24.790836
inf02,NVIDIA A40,16,10000,160000,1000,cpu,5,24.603559
inf02,NVIDIA A40,16,10000,160000,1000,gpu,1,1.545667
inf02,NVIDIA A40,16,10000,160000,1000,gpu,2,1.461842
inf02,NVIDIA A40,16,10000,160000,1000,gpu,3,1.484221
inf02,NVIDIA A40,16,10000,160000,1000,gpu,4,1.475947
inf02,NVIDIA A40,16,10000,160000,1000,gpu,5,1.465978
inf02,NVIDIA A40,16,10000,160000,2000,cpu,1,47.726067
inf02,NVIDIA A40,16,10000,160000,2000,cpu,2,49.810973
inf02,NVIDIA A40,16,10000,160000,2000,cpu,3,47.653446
inf02,NVIDIA A40,16,10000,160000,2000,cpu,4,47.687720
inf02,NVIDIA A40,16,10000,160000,2000,cpu,5,47.274986
inf02,NVIDIA A40,16,10000,160000,2000,gpu,1,1.704858
inf02,NVIDIA A40,16,10000,160000,2000,gpu,2,1.617141
inf02,NVIDIA A40,16,10000,160000,2000,gpu,3,1.628346
inf02,NVIDIA A40,16,10000,160000,2000,gpu,4,1.600157
inf02,NVIDIA A40,16,10000,160000,2000,gpu,5,1.594766
inf02,NVIDIA A40,16,10000,160000,5000,cpu,1,115.195169
inf02,NVIDIA A40,16,10000,160000,5000,cpu,2,116.718194
inf02,NVIDIA A40,16,10000,160000,5000,cpu,3,116.894856
inf02,NVIDIA A40,16,10000,160000,5000,cpu,4,117.906063
inf02,NVIDIA A40,16,10000,160000,5000,cpu,5,117.034004
inf02,NVIDIA A40,16,10000,160000,5000,gpu,1,2.100357
inf02,NVIDIA A40,16,10000,160000,5000,gpu,2,2.043654
inf02,NVIDIA A40,16,10000,160000,5000,gpu,3,2.038992
inf02,NVIDIA A40,16,10000,160000,5000,gpu,4,2.018588
inf02,NVIDIA A40,16,10000,160000,5000,gpu,5,2.037318
