node,gpu,ncomp_per_neuron,n_neurons,total_comps,n_steps,mode,rep,wall_s
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,1,0.135807
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,2,0.133551
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,3,0.134126
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,4,0.134332
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,5,0.133250
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,6,0.133330
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,7,0.133036
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,8,0.133830
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,9,0.133492
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,cpu,10,0.133684
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,1,0.230660
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,2,0.226936
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,3,0.226591
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,4,0.214394
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,5,0.223341
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,6,0.211276
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,7,0.225018
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,8,0.211676
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,9,0.213207
inf03,NVIDIA A100-PCIE-40GB,16,100,1600,200,gpu,10,0.212075
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,1,0.268608
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,2,0.260851
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,3,0.274844
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,4,0.261013
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,5,0.274340
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,6,0.268406
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,7,0.275303
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,8,0.274648
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,9,0.261822
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,cpu,10,0.261630
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,1,0.261905
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,2,0.258936
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,3,0.245464
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,4,0.259268
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,5,0.249989
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,6,0.259575
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,7,0.257766
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,8,0.255936
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,9,0.260103
inf03,NVIDIA A100-PCIE-40GB,16,500,8000,200,gpu,10,0.264245
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,1,0.458151
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,2,0.430308
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,3,0.456238
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,4,0.435376
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,5,0.453475
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,6,0.443748
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,7,0.456605
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,8,0.441326
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,9,0.431577
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,cpu,10,0.452208
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,gpu,1,0.306661
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,gpu,2,0.311121
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,gpu,3,0.305473
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,gpu,4,0.313826
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,gpu,5,0.300376
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,gpu,6,0.299135
inf03,NVIDIA A100-PCIE-40GB,16,1000,16000,200,gpu,7,0.299968
