node,gpu,ncomp,n_neurons,total_comps,mode,t_per_step_s
inf02_A40,NVIDIA A40,16,100,1600,CPU,0.0001033623836
inf02_A40,NVIDIA A40,16,100,1600,GPU,0.0009852242612
inf02_A40,NVIDIA A40,16,500,8000,CPU,0.0007097354247
inf02_A40,NVIDIA A40,16,500,8000,GPU,0.0006813502028
inf02_A40,NVIDIA A40,16,1000,16000,CPU,0.001545295971
inf02_A40,NVIDIA A40,16,1000,16000,GPU,0.001058581542
inf02_A40,NVIDIA A40,16,2000,32000,CPU,0.003285645303
inf02_A40,NVIDIA A40,16,2000,32000,GPU,0.001068978508
inf02_A40,NVIDIA A40,16,5000,80000,CPU,0.01372724555
inf02_A40,NVIDIA A40,16,5000,80000,GPU,0.002134809033
inf02_A40,NVIDIA A40,16,10000,160000,CPU,0.02910953435
inf02_A40,NVIDIA A40,16,10000,160000,GPU,0.002290744673
inf02_A40,NVIDIA A40,4,1000,4000,CPU,0.0003564138143
inf02_A40,NVIDIA A40,4,1000,4000,GPU,0.000659750402
inf02_A40,NVIDIA A40,8,1000,8000,CPU,0.0007203770535
inf02_A40,NVIDIA A40,8,1000,8000,GPU,0.000690515907
inf02_A40,NVIDIA A40,32,1000,32000,CPU,0.003176145327
inf02_A40,NVIDIA A40,32,1000,32000,GPU,0.0009791191845
inf02_A40,NVIDIA A40,64,1000,64000,CPU,0.01053206353
inf02_A40,NVIDIA A40,64,1000,64000,GPU,0.001255539343
