node,gpu,n_neurons,n_steps,mode,rep,wall_s
inf02,NVIDIA A40,500,50000,cpu,1,0.762713
inf02,NVIDIA A40,500,50000,cpu,2,0.759209
inf02,NVIDIA A40,500,50000,cpu,3,0.756650
inf02,NVIDIA A40,500,50000,cpu,4,0.758590
inf02,NVIDIA A40,500,50000,cpu,5,0.756926
inf02,NVIDIA A40,500,50000,cpu,6,0.757638
inf02,NVIDIA A40,500,50000,cpu,7,0.757334
inf02,NVIDIA A40,500,50000,cpu,8,0.761145
inf02,NVIDIA A40,500,50000,cpu,9,0.760221
inf02,NVIDIA A40,500,50000,cpu,10,0.758898
inf02,NVIDIA A40,500,50000,gpu,1,0.565779
inf02,NVIDIA A40,500,50000,gpu,2,0.482921
inf02,NVIDIA A40,500,50000,gpu,3,0.471503
inf02,NVIDIA A40,500,50000,gpu,4,0.484516
inf02,NVIDIA A40,500,50000,gpu,5,0.490510
inf02,NVIDIA A40,500,50000,gpu,6,0.476186
inf02,NVIDIA A40,500,50000,gpu,7,0.484917
inf02,NVIDIA A40,500,50000,gpu,8,0.488181
inf02,NVIDIA A40,500,50000,gpu,9,0.483379
inf02,NVIDIA A40,500,50000,gpu,10,0.470656
inf02,NVIDIA A40,5000,50000,cpu,1,5.703762
inf02,NVIDIA A40,5000,50000,cpu,2,5.689538
inf02,NVIDIA A40,5000,50000,cpu,3,5.694773
inf02,NVIDIA A40,5000,50000,cpu,4,5.688489
inf02,NVIDIA A40,5000,50000,cpu,5,5.695477
inf02,NVIDIA A40,5000,50000,cpu,6,5.679251
inf02,NVIDIA A40,5000,50000,cpu,7,5.695430
inf02,NVIDIA A40,5000,50000,cpu,8,5.693458
inf02,NVIDIA A40,5000,50000,cpu,9,5.727467
inf02,NVIDIA A40,5000,50000,cpu,10,5.688086
inf02,NVIDIA A40,5000,50000,gpu,1,0.728683
inf02,NVIDIA A40,5000,50000,gpu,2,0.648870
inf02,NVIDIA A40,5000,50000,gpu,3,0.647960
inf02,NVIDIA A40,5000,50000,gpu,4,0.651760
inf02,NVIDIA A40,5000,50000,gpu,5,0.650775
inf02,NVIDIA A40,5000,50000,gpu,6,0.649705
inf02,NVIDIA A40,5000,50000,gpu,7,0.648286
inf02,NVIDIA A40,5000,50000,gpu,8,0.654074
inf02,NVIDIA A40,5000,50000,gpu,9,0.649663
inf02,NVIDIA A40,5000,50000,gpu,10,0.652388
inf02,NVIDIA A40,50000,50000,cpu,1,57.270001
inf02,NVIDIA A40,50000,50000,cpu,2,57.067743
inf02,NVIDIA A40,50000,50000,cpu,3,57.126871
inf02,NVIDIA A40,50000,50000,cpu,4,57.245771
inf02,NVIDIA A40,50000,50000,cpu,5,57.211793
inf02,NVIDIA A40,50000,50000,cpu,6,56.981060
inf02,NVIDIA A40,50000,50000,cpu,7,57.197617
inf02,NVIDIA A40,50000,50000,cpu,8,57.172429
inf02,NVIDIA A40,50000,50000,cpu,9,56.617527
inf02,NVIDIA A40,50000,50000,cpu,10,56.705080
inf02,NVIDIA A40,50000,50000,gpu,1,2.762102
inf02,NVIDIA A40,50000,50000,gpu,2,2.693927
inf02,NVIDIA A40,50000,50000,gpu,3,2.735358
inf02,NVIDIA A40,50000,50000,gpu,4,2.694944
inf02,NVIDIA A40,50000,50000,gpu,5,2.754804
inf02,NVIDIA A40,50000,50000,gpu,6,2.683433
inf02,NVIDIA A40,50000,50000,gpu,7,2.755585
inf02,NVIDIA A40,50000,50000,gpu,8,2.683948
inf02,NVIDIA A40,50000,50000,gpu,9,2.753331
inf02,NVIDIA A40,50000,50000,gpu,10,2.684062
