node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,CPU,1,0.000105762668
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,GPU,1,0.001042698679
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,CPU,1,0.0001115460924
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,GPU,1,0.0006256718721
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,CPU,1,0.0006937148316
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,GPU,1,0.000687034712
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,CPU,1,0.0007043943519
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,GPU,1,0.0006814860162
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,CPU,1,0.00141679006
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,GPU,1,0.0007352626749
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,CPU,1,0.001395048982
inf02_A40,NVIDIA A40,branching-4x4,17,1000,17000,GPU,1,0.0007631502691
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,CPU,1,0.00343639283
inf02_A40,NVIDIA A40,linear-chain,16,2000,32000,GPU,1,0.001075913438
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,CPU,1,0.003874445813
inf02_A40,NVIDIA A40,branching-4x4,17,2000,34000,GPU,1,0.001060537284
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,CPU,1,0.007397382032
inf02_A40,NVIDIA A40,linear-chain,16,3000,48000,GPU,1,0.001098009944
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,CPU,1,0.007812489782
inf02_A40,NVIDIA A40,branching-4x4,17,3000,51000,GPU,1,0.001118725964
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,CPU,1,0.01432105736
inf02_A40,NVIDIA A40,linear-chain,16,5000,80000,GPU,1,0.002119076658
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,CPU,1,0.01514465917
inf02_A40,NVIDIA A40,branching-4x4,17,5000,85000,GPU,1,0.002140999382
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,CPU,1,0.02091316093
inf02_A40,NVIDIA A40,linear-chain,16,7000,112000,GPU,1,0.002188946171
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,CPU,1,0.02207728082
inf02_A40,NVIDIA A40,branching-4x4,17,7000,119000,GPU,1,0.00219563449
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,CPU,1,0.03136078661
inf02_A40,NVIDIA A40,linear-chain,16,10000,160000,GPU,1,0.002291731401
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,CPU,1,0.03195458542
inf02_A40,NVIDIA A40,branching-4x4,17,10000,170000,GPU,1,0.002298796719
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,CPU,1,0.04912665541
inf02_A40,NVIDIA A40,linear-chain,16,15000,240000,GPU,1,0.002445651726
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,CPU,1,0.05095519586
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,GPU,1,0.00247557082
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,CPU,1,0.06569823785
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,GPU,1,0.00263133916
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,CPU,1,0.06801839742
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,GPU,1,0.002666039358
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,CPU,1,0.1000934254
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,GPU,1,0.00314077464
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,CPU,1,0.1057270137
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,GPU,1,0.003246913986
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,CPU,1,0.1333789825
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,GPU,1,0.003761717406
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,CPU,1,0.1385523276
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,GPU,1,0.00389362384
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,CPU,1,0.1632298383
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,GPU,1,0.004381795634
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,CPU,1,0.1725606918
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,GPU,1,0.004534983364
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,CPU,2,0.0001054112755
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,GPU,2,0.0006866720461
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,CPU,2,0.0005938978777
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,GPU,2,0.0006017186812
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,CPU,2,0.0007056713104
inf02_A40,NVIDIA A40,linear-chain,16,500,8000,GPU,2,0.0006420241935
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,CPU,2,0.0007162151592
inf02_A40,NVIDIA A40,branching-4x4,17,500,8500,GPU,2,0.0006886150865
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,CPU,2,0.001407154827
inf02_A40,NVIDIA A40,linear-chain,16,1000,16000,GPU,2,0.0007358184883
