node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,CPU,1,0.0001110360647
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,GPU,1,0.0004517036534
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,CPU,1,0.0001143326451
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,GPU,1,0.0003812215513
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,CPU,1,0.0007447874262
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,GPU,1,0.0003974163461
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,CPU,1,0.000743039591
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,GPU,1,0.0003946253232
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,CPU,1,0.001471802592
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,GPU,1,0.0004790838276
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,CPU,1,0.001429152063
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,GPU,1,0.000501448803
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,CPU,1,0.003114438341
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,GPU,1,0.0004827353216
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,CPU,1,0.003197102603
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,GPU,1,0.0004808669289
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,CPU,1,0.00624195167
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,GPU,1,0.0004915633727
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,3000,51000,CPU,1,0.006298351288
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,3000,51000,GPU,1,0.0005334725337
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,5000,80000,CPU,1,0.01388722767
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,5000,80000,GPU,1,0.0009537690065
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,5000,85000,CPU,1,0.01443786079
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,5000,85000,GPU,1,0.0009347880428
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,7000,112000,CPU,1,0.02125082883
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,7000,112000,GPU,1,0.00103598806
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,7000,119000,CPU,1,0.02231660106
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,7000,119000,GPU,1,0.0009842265736
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,10000,160000,CPU,1,0.03220026927
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,10000,160000,GPU,1,0.001045614752
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,10000,170000,CPU,1,0.03379592896
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,10000,170000,GPU,1,0.001204286245
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,15000,240000,CPU,1,0.05108625239
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,15000,240000,GPU,1,0.001254842363
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,15000,255000,CPU,1,0.05430864854
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,15000,255000,GPU,1,0.001286346398
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,20000,320000,CPU,1,0.06943490722
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,20000,320000,GPU,1,0.001383211396
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,20000,340000,CPU,1,0.07173950455
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,20000,340000,GPU,1,0.0013638789
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,30000,480000,CPU,1,0.1060267709
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,30000,480000,GPU,1,0.001586905799
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,30000,510000,CPU,1,0.1118029161
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,30000,510000,GPU,1,0.001643041454
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,40000,640000,CPU,1,0.1420857343
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,40000,640000,GPU,1,0.001880779321
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,40000,680000,CPU,1,0.1478365638
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,40000,680000,GPU,1,0.001966240325
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,50000,800000,CPU,1,0.1748490594
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,50000,800000,GPU,1,0.002152309905
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,50000,850000,CPU,1,0.1828135404
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,50000,850000,GPU,1,0.002210078998
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,CPU,2,0.0001127110262
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,100,1600,GPU,2,0.0003858229944
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,CPU,2,0.0001144673321
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,100,1700,GPU,2,0.0004297320687
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,CPU,2,0.000706877382
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,500,8000,GPU,2,0.0004154089661
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,CPU,2,0.0008003283115
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,500,8500,GPU,2,0.0003861043425
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,CPU,2,0.001402995274
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,1000,16000,GPU,2,0.0004944087494
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,CPU,2,0.001590051396
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,1000,17000,GPU,2,0.0004982592449
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,CPU,2,0.003306163776
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,2000,32000,GPU,2,0.0004739456588
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,CPU,2,0.003140632879
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,2000,34000,GPU,2,0.0004800838374
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,CPU,2,0.006068261464
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,3000,48000,GPU,2,0.0004966126666
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,3000,51000,CPU,2,0.006514769509
inf03,NVIDIA A100-PCIE-40GB,branching-4x4,17,3000,51000,GPU,2,0.0005310906541
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,5000,80000,CPU,2,0.01369772391
inf03,NVIDIA A100-PCIE-40GB,linear-chain,16,5000,80000,GPU,2,0.0009658161212
