node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,1,7.48293563e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,1,0.0005363804599
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,1,7.509680554e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,1,0.0005593995253
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,1,0.0003758580912
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,1,0.000530901161
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,1,0.0003110531895
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,1,0.0006528029839
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,1,0.001233532031
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,1,0.0006847734253
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,1,0.001183423755
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,1,0.0006332222195
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,2,5.185984164e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,2,0.000599985889
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,2,5.183766286e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,2,0.000591521923
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,2,0.0003167215203
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,2,0.0005630206494
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,2,0.0002979890222
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,2,0.0006124619217
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,2,0.001102421397
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,2,0.0006562822631
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,2,0.001263045555
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,2,0.0006113591648
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,CPU,3,5.23194715e-05
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,100,1600,GPU,3,0.0005651367917
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,CPU,3,5.071040775e-05
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,100,1700,GPU,3,0.0005892293084
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,CPU,3,0.0002950401178
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,500,8000,GPU,3,0.0006329165328
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,CPU,3,0.0003058280618
