node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,100,1600,CPU,1,6.369745714e-05
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,100,1600,GPU,1,0.0007963665185
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,100,1700,CPU,1,6.053766147e-05
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,100,1700,GPU,1,0.0006355239522
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,500,8000,CPU,1,0.0003444768843
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,500,8000,GPU,1,0.0006286792102
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,500,8500,CPU,1,0.0003363646922
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,500,8500,GPU,1,0.000652204312
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,1000,16000,CPU,1,0.0006985141408
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,1000,16000,GPU,1,0.0007414944825
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,1000,17000,CPU,1,0.0006742326986
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,1000,17000,GPU,1,0.0006600095403
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,2000,32000,CPU,1,0.001758895176
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,2000,32000,GPU,1,0.000713487821
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,2000,34000,CPU,1,0.00249635861
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,2000,34000,GPU,1,0.0006998242367
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,3000,48000,CPU,1,0.005449630533
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,3000,48000,GPU,1,0.0007974973747
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,3000,51000,CPU,1,0.005849563508
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,3000,51000,GPU,1,0.0007928158556
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,5000,80000,CPU,1,0.0127542214
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,5000,80000,GPU,1,0.001596671749
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,5000,85000,CPU,1,0.01337874478
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,5000,85000,GPU,1,0.001555591822
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,7000,112000,CPU,1,0.01869710142
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,7000,112000,GPU,1,0.001625400782
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,7000,119000,CPU,1,0.01921418147
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,7000,119000,GPU,1,0.001558949595
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,10000,160000,CPU,1,0.02694524201
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,10000,160000,GPU,1,0.001622403752
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,10000,170000,CPU,1,0.02830648856
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,10000,170000,GPU,1,0.001693911038
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,15000,240000,CPU,1,0.0410609332
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,linear-chain,16,15000,240000,GPU,1,0.001743099635
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,15000,255000,CPU,1,0.04335920594
WarsawIQ_RTX4090,NVIDIA GeForce RTX 4090,branching-4x4,17,15000,255000,GPU,1,0.001760021665
