rep,n_neurons,ncompts,total_wallclock_s,variant
1,1000,17000,0.624,after
1,2000,34000,0.924,after
1,4000,68000,1.794,after
1,8000,136000,4.049,after
1,16000,272000,7.558,after
1,31000,527000,14.362,after
1,50000,850000,23.543,after
1,70000,1190000,34.547,after
1,100000,1700000,51.440,after
2,1000,17000,0.484,after
2,2000,34000,0.928,after
2,4000,68000,1.832,after
2,8000,136000,4.088,after
2,16000,272000,7.541,after
2,31000,527000,14.687,after
2,50000,850000,23.696,after
2,70000,1190000,33.744,after
2,100000,1700000,50.887,after
3,1000,17000,0.601,after
3,2000,34000,0.922,after
3,4000,68000,1.864,after
3,8000,136000,4.104,after
3,16000,272000,7.526,after
3,31000,527000,14.660,after
3,50000,850000,24.156,after
3,70000,1190000,34.454,after
3,100000,1700000,52.114,after
1,1000,17000,0.818,before
1,2000,34000,2.025,before
1,4000,68000,8.241,before
1,8000,136000,105.45,before
