session,mode,phase,iteration,neurons,steps,real_seconds,error_lines,exit_code
1,CPU,warmup,0,30000,20000,26.482923,0,0
1,CPU,run,1,30000,20000,24.398013,0,0
1,CPU,run,2,30000,20000,26.250946,0,0
1,CPU,run,3,30000,20000,24.481197,0,0
1,CPU,run,4,30000,20000,25.742994,0,0
1,CPU,run,5,30000,20000,25.020918,0,0
1,CPU,run,6,30000,20000,26.947133,0,0
1,CPU,run,7,30000,20000,25.779102,0,0
1,CPU,run,8,30000,20000,25.811830,0,0
1,CPU,run,9,30000,20000,27.063070,0,0
1,CPU,run,10,30000,20000,25.325231,0,0
1,CPU,run,11,30000,20000,25.567021,0,0
1,CPU,run,12,30000,20000,25.571342,0,0
1,CPU,run,13,30000,20000,25.730831,0,0
1,CPU,run,14,30000,20000,25.826228,0,0
1,CPU,run,15,30000,20000,25.689231,0,0
1,CPU,run,16,30000,20000,25.861342,0,0
1,CPU,run,17,30000,20000,25.552568,0,0
1,CPU,run,18,30000,20000,25.802589,0,0
1,CPU,run,19,30000,20000,26.216724,0,0
1,CPU,run,20,30000,20000,25.960035,0,0
1,CPU,run,21,30000,20000,24.937615,0,0
1,CPU,run,22,30000,20000,25.755759,0,0
1,CPU,run,23,30000,20000,25.891208,0,0
1,CPU,run,24,30000,20000,26.150393,0,0
1,CPU,run,25,30000,20000,26.008414,0,0
1,CPU,run,26,30000,20000,25.936949,0,0
1,CPU,run,27,30000,20000,26.026072,0,0
1,CPU,run,28,30000,20000,25.954845,0,0
1,CPU,run,29,30000,20000,26.619903,0,0
1,CPU,run,30,30000,20000,24.809739,0,0
1,CPU,run,31,30000,20000,26.165323,0,0
1,CPU,run,32,30000,20000,26.003993,0,0
1,CPU,run,33,30000,20000,26.120631,0,0
1,CPU,run,34,30000,20000,25.896642,0,0
1,CPU,run,35,30000,20000,25.977251,0,0
1,CPU,run,36,30000,20000,26.216184,0,0
1,CPU,run,37,30000,20000,25.854550,0,0
1,CPU,run,38,30000,20000,25.658307,0,0
1,CPU,run,39,30000,20000,26.486835,0,0
1,CPU,run,40,30000,20000,25.808586,0,0
1,CPU,run,41,30000,20000,25.266051,0,0
1,CPU,run,42,30000,20000,25.917141,0,0
1,CPU,run,43,30000,20000,26.083270,0,0
1,CPU,run,44,30000,20000,26.162938,0,0
1,CPU,run,45,30000,20000,26.476321,0,0
1,CPU,run,46,30000,20000,26.606327,0,0
1,CPU,run,47,30000,20000,25.834142,0,0
1,CPU,run,48,30000,20000,25.601188,0,0
1,CPU,run,49,30000,20000,26.075057,0,0
1,CPU,run,50,30000,20000,25.894494,0,0
1,CPU,run,51,30000,20000,26.250389,0,0
1,CPU,run,52,30000,20000,25.738609,0,0
1,CPU,run,53,30000,20000,26.426015,0,0
1,CPU,run,54,30000,20000,25.812466,0,0
1,CPU,run,55,30000,20000,25.685474,0,0
1,CPU,run,56,30000,20000,25.150588,0,0
