benchmark,mode,size_key,size_value,steps,replicate,real_seconds,error_lines,exit_code
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,1,4.400110,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,2,4.418365,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,3,4.272098,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,4,4.369326,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,5,4.276505,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,6,4.265151,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,7,4.383592,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,8,4.253272,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,9,4.286925,0,0
mesoscale_sparse_benchmark,CPU,neurons,10000,20000,10,4.296980,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,1,5.837342,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,2,5.841392,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,3,5.959952,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,4,5.958424,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,5,5.726086,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,6,5.704808,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,7,5.697395,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,8,5.816740,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,9,5.908763,0,0
mesoscale_sparse_benchmark,CPU,neurons,12000,20000,10,5.765332,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,1,8.903042,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,2,8.830890,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,3,8.974572,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,4,8.831594,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,5,8.779224,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,6,9.080431,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,7,8.804521,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,8,8.923997,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,9,8.900947,0,0
mesoscale_sparse_benchmark,CPU,neurons,16000,20000,10,8.952825,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,1,13.000424,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,2,13.189495,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,3,13.054210,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,4,13.401002,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,5,13.120507,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,6,13.091009,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,7,13.074791,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,8,13.282396,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,9,13.337276,0,0
mesoscale_sparse_benchmark,CPU,neurons,20000,20000,10,13.090140,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,1,17.888577,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,2,17.869167,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,3,17.812998,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,4,18.040792,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,5,17.278693,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,6,18.013067,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,7,17.856724,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,8,18.098347,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,9,18.238763,0,0
mesoscale_sparse_benchmark,CPU,neurons,24000,20000,10,17.331676,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,1,25.254780,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,2,25.089897,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,3,24.963293,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,4,24.723554,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,5,25.101596,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,6,25.429936,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,7,25.295204,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,8,24.730084,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,9,25.352150,0,0
mesoscale_sparse_benchmark,CPU,neurons,30000,20000,10,25.052435,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,1,0.283127,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,2,0.284168,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,3,0.282971,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,4,0.297410,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,5,0.282903,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,6,0.289329,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,7,0.335364,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,8,0.296594,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,9,0.296242,0,0
biophysical_cellscale_benchmark,CPU,neurons,1000,20000,10,0.312220,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,1,0.361066,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,2,0.363748,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,3,0.345720,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,4,0.353869,0,0
biophysical_cellscale_benchmark,CPU,neurons,1500,20000,5,0.340682,0,0
