benchmark,mode,config,replicate,real_seconds,error_lines,exit_code
mesoscale_sparse_benchmark,GPU,N20000_S20000,1,13.263887,0,0
mesoscale_sparse_benchmark,GPU,N20000_S20000,2,13.361342,0,0
mesoscale_sparse_benchmark,GPU,N20000_S20000,3,13.190012,0,0
mesoscale_sparse_benchmark,GPU,N20000_S20000,4,13.090125,0,0
mesoscale_sparse_benchmark,GPU,N20000_S20000,5,13.318553,0,0
mesoscale_sparse_benchmark,GPU,N30000_S20000,1,27.208601,0,0
mesoscale_sparse_benchmark,GPU,N30000_S20000,2,27.070977,0,0
mesoscale_sparse_benchmark,GPU,N30000_S20000,3,26.997171,0,0
mesoscale_sparse_benchmark,GPU,N30000_S20000,4,26.767115,0,0
mesoscale_sparse_benchmark,GPU,N30000_S20000,5,26.604143,0,0
biophysical_cellscale_benchmark,GPU,N2000_S20000,1,0.391550,0,0
biophysical_cellscale_benchmark,GPU,N2000_S20000,2,0.393290,0,0
biophysical_cellscale_benchmark,GPU,N2000_S20000,3,0.376872,0,0
biophysical_cellscale_benchmark,GPU,N2000_S20000,4,0.380738,0,0
biophysical_cellscale_benchmark,GPU,N2000_S20000,5,0.414826,0,0
biophysical_cellscale_benchmark,GPU,N4000_S20000,1,0.791707,0,0
biophysical_cellscale_benchmark,GPU,N4000_S20000,2,0.779675,0,0
biophysical_cellscale_benchmark,GPU,N4000_S20000,3,0.785047,0,0
biophysical_cellscale_benchmark,GPU,N4000_S20000,4,0.772558,0,0
biophysical_cellscale_benchmark,GPU,N4000_S20000,5,0.760230,0,0
region_proxy_microcircuit_benchmark,GPU,EX120x120_INH60x60_S20000,1,0.269936,0,0
region_proxy_microcircuit_benchmark,GPU,EX120x120_INH60x60_S20000,2,0.257468,0,0
region_proxy_microcircuit_benchmark,GPU,EX120x120_INH60x60_S20000,3,0.275866,0,0
region_proxy_microcircuit_benchmark,GPU,EX120x120_INH60x60_S20000,4,0.292479,0,0
region_proxy_microcircuit_benchmark,GPU,EX120x120_INH60x60_S20000,5,0.274369,0,0
region_proxy_microcircuit_benchmark,GPU,EX160x160_INH80x80_S20000,1,0.301270,0,0
region_proxy_microcircuit_benchmark,GPU,EX160x160_INH80x80_S20000,2,0.320024,0,0
region_proxy_microcircuit_benchmark,GPU,EX160x160_INH80x80_S20000,3,0.306209,0,0
region_proxy_microcircuit_benchmark,GPU,EX160x160_INH80x80_S20000,4,0.310694,0,0
region_proxy_microcircuit_benchmark,GPU,EX160x160_INH80x80_S20000,5,0.312263,0,0
