benchmark,mode,size_key,size_value,steps,replicate,real_seconds,error_lines,exit_code
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,1,4.438374,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,2,4.328068,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,3,4.360669,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,4,4.294419,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,5,4.190561,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,6,4.222242,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,7,4.179896,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,8,4.210860,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,9,4.471930,0,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,10,4.312081,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,1,5.675058,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,2,5.687511,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,3,5.660344,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,4,5.680748,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,5,5.673664,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,6,5.640195,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,7,5.781155,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,8,5.751950,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,9,5.899067,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,10,5.652803,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,1,8.810172,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,2,8.968780,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,3,8.935666,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,4,8.920625,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,5,9.002977,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,6,8.983193,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,7,8.952659,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,8,8.906749,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,9,8.730583,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,10,8.763705,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,1,13.315942,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,2,13.196573,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,3,13.596338,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,4,13.406996,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,5,13.603062,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,6,13.151103,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,7,13.657582,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,8,13.371312,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,9,13.237922,0,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,10,13.329695,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,1,17.935010,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,2,17.943501,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,3,18.006259,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,4,17.977178,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,5,18.117986,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,6,18.093580,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,7,17.698638,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,8,17.834541,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,9,17.721898,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,10,17.817863,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,1,26.724836,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,2,26.582920,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,3,27.028707,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,4,26.857576,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,5,27.057148,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,6,26.411798,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,7,26.572621,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,8,30.779067,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,9,26.907049,0,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,10,26.662835,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,1,0.288507,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,2,0.288754,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,3,0.273516,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,4,0.311244,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,5,0.279151,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,6,0.277896,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,7,0.297346,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,8,0.321007,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,9,0.319005,0,0
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,10,0.346377,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,1,0.401901,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,2,0.366368,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,3,0.367429,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,4,0.352507,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,5,0.382366,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,6,0.366054,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,7,0.384382,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,8,0.375530,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,9,0.374381,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,10,0.369501,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,1,0.395933,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,2,0.390446,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,3,0.413637,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,4,0.410072,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,5,0.387527,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,6,0.409196,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,7,0.400750,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,8,0.380923,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,9,0.386221,0,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,10,0.393611,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,1,0.535567,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,2,0.578798,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,3,0.549720,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,4,0.559375,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,5,0.543067,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,6,0.532398,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,7,0.535428,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,8,0.522295,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,9,0.535356,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,10,0.546967,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,1,0.769383,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,2,0.750890,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,3,0.781586,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,4,0.766788,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,5,0.742988,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,6,0.762878,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,7,0.910683,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,8,0.756945,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,9,0.764068,0,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,10,0.750115,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,1,1.076124,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,2,1.088262,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,3,1.076794,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,4,1.084225,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,5,1.108798,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,6,1.147652,0,0
