benchmark,size_key,size_value,config,steps,replicate,mode,real_seconds,error_lines,exit_code
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,1,CPU,35.686753,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,1,GPU,36.467059,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,2,CPU,35.418077,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,2,GPU,37.142827,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,3,CPU,35.185082,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,3,GPU,36.860835,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,4,CPU,35.750943,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,4,GPU,36.001307,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,5,CPU,34.898455,0,0
mesoscale_sparse_benchmark,neurons,35000,N35000_S20000,20000,5,GPU,36.370177,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,1,CPU,62.800090,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,1,GPU,61.904914,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,2,CPU,60.798215,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,2,GPU,62.357089,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,3,CPU,61.540349,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,3,GPU,60.992745,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,4,CPU,64.765684,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,4,GPU,63.462071,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,5,CPU,60.795451,0,0
mesoscale_sparse_benchmark,neurons,45000,N45000_S20000,20000,5,GPU,126.803384,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,1,CPU,4.576989,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,1,GPU,4.627735,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,2,CPU,4.727983,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,2,GPU,4.697779,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,3,CPU,4.776554,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,3,GPU,4.729706,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,4,CPU,4.884740,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,4,GPU,4.738015,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,5,CPU,4.830221,0,0
biophysical_cellscale_benchmark,neurons,7000,N7000_S20000,20000,5,GPU,4.915844,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,1,CPU,9.923864,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,1,GPU,9.986192,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,2,CPU,9.961038,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,2,GPU,9.768537,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,3,CPU,9.857928,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,3,GPU,9.927017,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,4,CPU,9.969065,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,4,GPU,9.624152,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,5,CPU,9.750936,0,0
biophysical_cellscale_benchmark,neurons,10000,N10000_S20000,20000,5,GPU,9.647849,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,1,CPU,0.225095,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,1,GPU,0.217801,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,2,CPU,0.224020,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,2,GPU,0.226034,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,3,CPU,0.226450,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,3,GPU,0.221426,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,4,CPU,0.227802,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,4,GPU,0.222331,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,5,CPU,0.245163,0,0
region_proxy_microcircuit_benchmark,region_cells,50000,EX200x200_INH100x100_S20000,20000,5,GPU,0.224849,0,0
region_proxy_microcircuit_benchmark,region_cells,72000,EX240x240_INH120x120_S20000,20000,1,CPU,0.312987,0,0
region_proxy_microcircuit_benchmark,region_cells,72000,EX240x240_INH120x120_S20000,20000,1,GPU,0.313052,0,0
