benchmark,size,cpu_mean_s,gpu_mean_s,speedup_cpu_over_gpu
biophysical_cellscale_benchmark,1000,0.296033,0.300280,0.985857
biophysical_cellscale_benchmark,1500,0.341331,0.374042,0.912547
biophysical_cellscale_benchmark,2000,0.388864,0.396832,0.979921
biophysical_cellscale_benchmark,3000,0.551263,0.543897,1.013543
biophysical_cellscale_benchmark,4000,0.783745,0.775632,1.010460
biophysical_cellscale_benchmark,5000,1.091358,1.096861,0.994983
mesoscale_sparse_benchmark,10000,4.322232,4.300910,1.004958
mesoscale_sparse_benchmark,12000,5.821623,5.710249,1.019504
mesoscale_sparse_benchmark,16000,8.898204,8.897511,1.000078
mesoscale_sparse_benchmark,20000,13.164125,13.386653,0.983377
mesoscale_sparse_benchmark,24000,17.842880,17.914645,0.995994
mesoscale_sparse_benchmark,30000,25.099293,27.158456,0.924180
region_proxy_microcircuit_benchmark,8000,0.243056,0.239641,1.014250
region_proxy_microcircuit_benchmark,12500,0.251988,0.248343,1.014677
region_proxy_microcircuit_benchmark,18000,0.271390,0.271309,1.000299
region_proxy_microcircuit_benchmark,24500,0.291648,0.286589,1.017652
region_proxy_microcircuit_benchmark,32000,0.305914,0.305906,1.000026
region_proxy_microcircuit_benchmark,40500,0.333031,0.326409,1.020287
