benchmark,mode,size_key,size_value,steps,n,mean_s,sd_s,ci95_s,min_s,max_s,mean_error_lines,fail_count
biophysical_cellscale_benchmark,GPU,neurons,1000,20000,10,0.300280,0.023498,0.014564,0.273516,0.346377,0.00,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,10,0.374042,0.013356,0.008278,0.352507,0.401901,0.00,0
biophysical_cellscale_benchmark,GPU,neurons,2000,20000,10,0.396832,0.011206,0.006946,0.380923,0.413637,0.00,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,10,0.543897,0.016037,0.009940,0.522295,0.578798,0.00,0
biophysical_cellscale_benchmark,GPU,neurons,4000,20000,10,0.775632,0.048724,0.030199,0.742988,0.910683,0.00,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,10,1.096861,0.020773,0.012875,1.076124,1.147652,0.00,0
mesoscale_sparse_benchmark,GPU,neurons,10000,20000,10,4.300910,0.102056,0.063255,4.179896,4.471930,0.00,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,10,5.710249,0.079639,0.049361,5.640195,5.899067,0.00,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,10,8.897511,0.095486,0.059183,8.730583,9.002977,0.00,0
mesoscale_sparse_benchmark,GPU,neurons,20000,20000,10,13.386653,0.178522,0.110649,13.151103,13.657582,0.00,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,10,17.914645,0.143956,0.089225,17.698638,18.117986,0.00,0
mesoscale_sparse_benchmark,GPU,neurons,30000,20000,10,27.158456,1.289068,0.798973,26.411798,30.779067,0.00,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,10,0.248343,0.005565,0.003449,0.242251,0.261953,0.00,0
region_proxy_microcircuit_benchmark,GPU,region_cells,18000,20000,10,0.271309,0.006140,0.003805,0.264551,0.282825,0.00,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,10,0.286589,0.003790,0.002349,0.281050,0.294707,0.00,0
region_proxy_microcircuit_benchmark,GPU,region_cells,32000,20000,10,0.305906,0.004257,0.002638,0.300916,0.314522,0.00,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,10,0.326409,0.003901,0.002418,0.321318,0.334148,0.00,0
region_proxy_microcircuit_benchmark,GPU,region_cells,8000,20000,10,0.239641,0.005349,0.003315,0.233683,0.247737,0.00,0
