benchmark,mode,size_key,size_value,steps,replicate,real_seconds,error_lines,exit_code
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,1,5.600214,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,2,5.727896,0,0
mesoscale_sparse_benchmark,GPU,neurons,12000,20000,3,5.718920,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,1,8.921184,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,2,8.728521,0,0
mesoscale_sparse_benchmark,GPU,neurons,16000,20000,3,8.818540,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,1,17.805247,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,2,17.793763,0,0
mesoscale_sparse_benchmark,GPU,neurons,24000,20000,3,17.965763,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,1,0.343887,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,2,0.326465,0,0
biophysical_cellscale_benchmark,GPU,neurons,1500,20000,3,0.381952,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,1,0.561610,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,2,0.554064,0,0
biophysical_cellscale_benchmark,GPU,neurons,3000,20000,3,0.567986,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,1,1.111567,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,2,1.085657,0,0
biophysical_cellscale_benchmark,GPU,neurons,5000,20000,3,1.126760,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,1,0.261296,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,2,0.254025,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,12500,20000,3,0.258480,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,1,0.290551,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,2,0.294966,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,24500,20000,3,0.291694,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,1,0.348734,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,2,0.335604,0,0
region_proxy_microcircuit_benchmark,GPU,region_cells,40500,20000,3,0.354394,0,0
