N,mode,rep,seconds
500,CPU,0,0.049326
500,CPU,1,0.039736
500,CPU,2,0.058384
500,CPU,3,0.049516
500,CPU,4,0.034617
500,CPU,5,0.028964
500,CPU,6,0.039253
500,CPU,7,0.028676
500,CPU,8,0.029039
500,CPU,9,0.027888
500,CPU,10,0.026837
500,CPU,11,0.036533
500,CPU,12,0.029533
500,CPU,13,0.035152
500,CPU,14,0.039289
500,CPU,15,0.028322
500,CPU,16,0.032324
500,CPU,17,0.038486
500,CPU,18,0.031063
500,CPU,19,0.028834
500,CPU,20,0.036655
500,CPU,21,0.028762
500,CPU,22,0.032765
500,CPU,23,0.038474
500,CPU,24,0.027829
500,CPU,25,0.030847
500,CPU,26,0.044394
500,CPU,27,0.028521
500,CPU,28,0.034826
500,CPU,29,0.030948
500,GPU,0,0.012200
500,GPU,1,0.013900
500,GPU,2,0.015100
500,GPU,3,0.012500
500,GPU,4,0.012200
500,GPU,5,0.012700
500,GPU,6,0.012400
500,GPU,7,0.012200
500,GPU,8,0.012300
500,GPU,9,0.013000
500,GPU,10,0.014300
500,GPU,11,0.013900
500,GPU,12,0.013100
500,GPU,13,0.012600
500,GPU,14,0.012100
500,GPU,15,0.012200
500,GPU,16,0.012300
500,GPU,17,0.013300
500,GPU,18,0.012700
500,GPU,19,0.012700
500,GPU,20,0.013900
500,GPU,21,0.014100
500,GPU,22,0.014000
500,GPU,23,0.012400
500,GPU,24,0.014300
500,GPU,25,0.013900
500,GPU,26,0.014900
500,GPU,27,0.012200
500,GPU,28,0.012800
500,GPU,29,0.013800
1000,CPU,0,0.057248
1000,CPU,1,0.057762
1000,CPU,2,0.055927
1000,CPU,3,0.056494
1000,CPU,4,0.057560
1000,CPU,5,0.056339
1000,CPU,6,0.057148
1000,CPU,7,0.056026
1000,CPU,8,0.056376
1000,CPU,9,0.056323
1000,CPU,10,0.066209
1000,CPU,11,0.055756
1000,CPU,12,0.079251
1000,CPU,13,0.055785
1000,CPU,14,0.055966
1000,CPU,15,0.057007
1000,CPU,16,0.056066
1000,CPU,17,0.057038
1000,CPU,18,0.056584
1000,CPU,19,0.062522
1000,CPU,20,0.056819
1000,CPU,21,0.057216
1000,CPU,22,0.056197
1000,CPU,23,0.056854
1000,CPU,24,0.058754
1000,CPU,25,0.064472
1000,CPU,26,0.056619
1000,CPU,27,0.057437
1000,CPU,28,0.055691
1000,CPU,29,0.056080
1000,GPU,0,0.012200
1000,GPU,1,0.013300
1000,GPU,2,0.012400
1000,GPU,3,0.012400
1000,GPU,4,0.014100
1000,GPU,5,0.012600
1000,GPU,6,0.012200
1000,GPU,7,0.012200
1000,GPU,8,0.013300
1000,GPU,9,0.014900
1000,GPU,10,0.015100
1000,GPU,11,0.014500
1000,GPU,12,0.013100
1000,GPU,13,0.013900
1000,GPU,14,0.012300
1000,GPU,15,0.017100
1000,GPU,16,0.012200
1000,GPU,17,0.013100
